id,user_id,status,amount,order_date
1,10,placed,100.00,2025-01-01
2,11,shipped,50.00,2025-01-02
3,12,completed,200.00,2025-01-03
4,13,returned,75.00,2025-01-04
5,14,return_pending,30.00,2025-01-05
6,15,placed,150.00,2025-01-06
7,16,shipped,80.00,2025-01-07
8,17,completed,250.00,2025-01-08
9,18,placed,90.00,2025-01-09
10,19,completed,120.00,2025-01-10
1,20,placed,100.00,2025-01-11
11,21,unknown_status,75.00,2025-01-12
12,22,placed,-50.00,2025-01-13
13,,shipped,200.00,2025-01-14
14,23,completed,100.00,2099-12-31
